Name,Price
Pool slides,Rs.999.00
Slip-on cotton trainers,"Rs.1,609.00"
Heeled sandals,"Rs.2,299.00"
Intertwined-strap sandals,"Rs.1,999.00"
Pool slides,Rs.999.00
Pointed slingbacks,"Rs.1,999.00"
Block-heeled sandals,"Rs.1,799.00"
Strappy heeled sandals,"Rs.1,799.00"
Pool slides,Rs.999.00
Strappy heeled sandals,"Rs.1,799.00"
Block-heeled sandals,"Rs.2,199.00"
Flip-flops,Rs.799.00
Block-heeled sandals,"Rs.1,799.00"
Ballet pumps,"Rs.1,999.00"
Espadrille sandals,"Rs.1,499.00"
Flip-flops,Rs.779.00
Wedge-heeled espadrille sandals,"Rs.2,999.00"
Warm-lined padded boots,"Rs.1,129.00"
Warm-lined padded boots,"Rs.1,349.00"
Beaded slides,"Rs.1,349.00"
Loafers,"Rs.3,999.00"
Leather ballet pumps,"Rs.2,999.00"
Studded cowboy boots,"Rs.3,249.00"
Suede ballet pumps,"Rs.2,999.00"
Leather sandals,"Rs.2,999.00"
Flip-flops,Rs.719.00
Flip-flops,Rs.649.00
Embroidery-detail espadrilles,Rs.799.00
Suede loafers,"Rs.3,499.00"
Leather ballet pumps,"Rs.2,999.00"
Tasselled sandals,"Rs.1,299.00"
Knot-detail leather sandals,"Rs.2,999.00"
Loafers,"Rs.3,999.00"
Leather slingbacks,"Rs.2,999.00"
Pool shoes,Rs.829.00
Braided leather sandals,"Rs.5,499.00"
